               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.018504,           0.0084258,            0.001182,             0.88734,             0.88734,               0.898,              0.6476,            0.021476,           0.0072349,           0.0020213,           0.0034165,           0.0034165,           0.0034165
                 135,            0.018542,           0.0079612,           0.0012143,             0.89914,             0.86677,               0.909,             0.64617,            0.020589,           0.0071505,            0.002049,            0.003367,            0.003367,            0.003367
                 136,            0.018032,           0.0080682,           0.0010636,             0.86225,             0.87915,             0.91295,             0.66041,             0.02071,           0.0071952,           0.0020771,           0.0033175,           0.0033175,           0.0033175
                 137,            0.018067,           0.0080527,           0.0010919,             0.87766,             0.86717,             0.89732,             0.64302,            0.021127,           0.0070503,           0.0020125,            0.003268,            0.003268,            0.003268
                 138,            0.018291,           0.0075835,            0.001008,             0.87141,             0.87564,             0.91169,             0.66568,            0.020938,           0.0070781,           0.0018393,           0.0032185,           0.0032185,           0.0032185
                 139,            0.017794,           0.0079101,           0.0013312,             0.90078,             0.85545,             0.90308,             0.66564,            0.020685,           0.0068838,            0.001974,            0.003169,            0.003169,            0.003169
                 140,            0.017855,           0.0080078,           0.0010307,             0.88495,             0.86249,             0.89486,             0.64686,            0.021033,           0.0071389,           0.0024728,           0.0031195,           0.0031195,           0.0031195
                 141,            0.017735,           0.0081862,          0.00098761,             0.88111,             0.88075,             0.90325,             0.65516,            0.020138,           0.0069169,           0.0027169,             0.00307,             0.00307,             0.00307
                 142,            0.018101,           0.0079463,           0.0013067,             0.86599,             0.86387,             0.89095,             0.64421,            0.020621,           0.0072342,           0.0027179,           0.0030205,           0.0030205,           0.0030205
                 143,            0.017888,           0.0081839,          0.00095809,             0.89489,             0.87758,             0.90284,             0.65206,            0.020342,           0.0070091,           0.0024817,            0.002971,            0.002971,            0.002971
                 144,            0.017539,            0.007857,           0.0011064,             0.87357,             0.87721,             0.90717,             0.64592,            0.021167,           0.0071803,           0.0021414,           0.0029215,           0.0029215,           0.0029215
                 145,            0.017754,           0.0079298,            0.001203,             0.90201,             0.87155,             0.91045,             0.65147,            0.021156,            0.007169,            0.002194,            0.002872,            0.002872,            0.002872
                 146,            0.017221,           0.0078656,           0.0011327,             0.88347,              0.8667,             0.88457,             0.64911,            0.020246,           0.0070143,           0.0020655,           0.0028225,           0.0028225,           0.0028225
                 147,            0.017537,           0.0079327,          0.00098394,               0.875,             0.88098,             0.90072,             0.64976,            0.020301,           0.0070057,           0.0019888,            0.002773,            0.002773,            0.002773
                 148,            0.017559,           0.0078084,           0.0010943,             0.90738,             0.88482,             0.91149,             0.66045,            0.020312,           0.0070256,           0.0022271,           0.0027235,           0.0027235,           0.0027235
                 149,             0.01698,           0.0080715,           0.0010858,             0.87223,             0.89543,             0.90049,              0.6557,            0.020221,            0.007014,           0.0018859,            0.002674,            0.002674,            0.002674
                 150,            0.017256,           0.0079445,          0.00092275,             0.90551,              0.8981,             0.89994,             0.65215,            0.020123,           0.0069965,           0.0023159,           0.0026245,           0.0026245,           0.0026245
                 151,            0.017015,           0.0079775,          0.00090673,             0.90228,             0.86559,             0.90931,             0.65532,            0.019998,           0.0069398,           0.0021575,            0.002575,            0.002575,            0.002575
                 152,            0.017123,           0.0078077,           0.0010368,             0.87046,             0.85874,             0.89005,             0.64465,            0.020401,           0.0071064,           0.0020587,           0.0025255,           0.0025255,           0.0025255
                 153,            0.017033,           0.0078451,           0.0010848,             0.83394,             0.89412,             0.89495,             0.64851,            0.020591,           0.0070623,           0.0024228,            0.002476,            0.002476,            0.002476
                 154,             0.01658,           0.0076034,          0.00089517,             0.87304,             0.89256,             0.90165,             0.65899,            0.020136,           0.0070473,           0.0026255,           0.0024265,           0.0024265,           0.0024265
